stable_id,source_id,source_name,title,official_url,published_at,freshness_status,change_type,committee
FEED-S-009-b19b35f423676e10,S-009,臺中市議會議事資訊系統－各項提案,內政部同意全額補助本府辦理「113年協助地方政府建置交通科技執法設備」計畫新臺幣,https://yishi.tccc.gov.tw/proposals/08bd3d8e-db79-4bee-b1a5-0fa9a544c72a,,FRESH,CONFIRMED,
FEED-S-009-ce43a91e543af715,S-009,臺中市議會議事資訊系統－各項提案,、烏日郵局、消防局烏日分隊等機關，並納入「警察局」烏日分局、烏日區戶政事務所辦公,https://yishi.tccc.gov.tw/proposals/df91b656-fd5c-4c82-a1e4-0933cab8aec8,,FRESH,CONFIRMED,
FEED-S-009-39f5b275c2b97d0e,S-009,臺中市議會議事資訊系統－各項提案,有關「警察局」大甲分局遷建研議之情形，應詳細徵詢地方意,https://yishi.tccc.gov.tw/proposals/c6f9ebbc-8f2c-46a1-9326-ee637763c0e5,,FRESH,CONFIRMED,
FEED-S-009-d06fe93655902c1f,S-009,臺中市議會議事資訊系統－各項提案,建請「警察局」重新盤點、調配員警現有業務量，完善福利、,https://yishi.tccc.gov.tw/proposals/8bae86f2-c883-4233-a25e-d4d245294aef,,FRESH,CONFIRMED,
FEED-S-009-70dc88927c63beef,S-009,臺中市議會議事資訊系統－各項提案,建請「警察局」於烏日區溪南路一段與溪南路一段460巷路,https://yishi.tccc.gov.tw/proposals/7671b166-f4a8-4303-af88-1163b2512159,,FRESH,CONFIRMED,
FEED-S-009-62cfc7e45fc2b055,S-009,臺中市議會議事資訊系統－各項提案,建請市政府就「警察局」基層警力員額，核實提出正確員額數，以及如,https://yishi.tccc.gov.tw/proposals/8c936817-7589-4d43-9dca-7ad1b1ab9c0a,,FRESH,CONFIRMED,
FEED-S-009-bdf267e5e3de0817,S-009,臺中市議會議事資訊系統－各項提案,本市「警察局」第三分局廳舍老舊，亟需覓地興建搬遷，請市,https://yishi.tccc.gov.tw/proposals/35b037eb-73c4-4307-b776-8572146442b4,,FRESH,CONFIRMED,
FEED-S-009-a6a42f146c8fac0c,S-009,臺中市議會議事資訊系統－各項提案,往稽查，但因勞工局並無實際調查權是否協請「警察局」配合進行查核，以利後續工安調查,https://yishi.tccc.gov.tw/proposals/abc9291c-b0a2-4955-8b56-398cf9b7b999,,FRESH,CONFIRMED,
FEED-S-009-0549aff4907d14af,S-009,臺中市議會議事資訊系統－各項提案,建請「警察局」於西屯路二段297之8巷12弄及西屯路二,https://yishi.tccc.gov.tw/proposals/6f91254d-0c2d-4946-83e4-1b4a1f2ab9de,,FRESH,CONFIRMED,
FEED-S-009-e31e4f39f4688f8f,S-009,臺中市議會議事資訊系統－各項提案,"內政部警政署112年度補助本局辦理「協助地方政府精進警察科技偵查設備」計畫1,7",https://yishi.tccc.gov.tw/proposals/4983fff0-e33e-4931-9ad3-74290d178c37,,FRESH,CONFIRMED,
FEED-S-009-54d7b58c6c254e7f,S-009,臺中市議會議事資訊系統－各項提案,令規定，請市政府召集環境保護局、交通局、「警察局」、法制局及經濟發展局等相關局處,https://yishi.tccc.gov.tw/proposals/f09e8603-de1f-481e-bba9-c11eb22cf2fb,,FRESH,CONFIRMED,
FEED-S-009-bf04b427c7b224a7,S-009,臺中市議會議事資訊系統－各項提案,建請「警察局」對未禮讓行人之違法駕駛行為加強取締，以保,https://yishi.tccc.gov.tw/proposals/22b2ccdb-f537-4d99-969f-7bd650094bf1,,FRESH,CONFIRMED,
FEED-S-009-937f1332a6861eb1,S-009,臺中市議會議事資訊系統－各項提案,建請臺中市政府「警察局」編列預算購買新式步槍、破門霰彈槍及瓦斯戰,https://yishi.tccc.gov.tw/proposals/3850ad0c-29d6-4dec-bc39-5b7b7c1a48a8,,FRESH,CONFIRMED,
FEED-S-009-f6594ab665f80079,S-009,臺中市議會議事資訊系統－各項提案,請「警察局」提出改善治安的具體做法，並提供市政府歷次,https://yishi.tccc.gov.tw/proposals/7f17b19c-cab3-474c-8557-bc3cec14af6a,,FRESH,CONFIRMED,
FEED-S-009-ad2e71b2bf69df1a,S-009,臺中市議會議事資訊系統－各項提案,分隊及外埔分駐所原地合建案，建請消防局、「警察局」及民政局共同討論擴大徵收相鄰土,https://yishi.tccc.gov.tw/proposals/2df39850-af72-4fcf-8f38-a8e1f83a717f,,FRESH,CONFIRMED,
FEED-S-009-8f8ce07c1f50c42c,S-009,臺中市議會議事資訊系統－各項提案,建請臺中市政府「警察局」編列預算購買電驅油壓破門設備組，並將其配,https://yishi.tccc.gov.tw/proposals/d848167b-3805-4b42-b0b7-4ab09ec11354,,FRESH,CONFIRMED,
FEED-S-009-5f07a2fe40465e25,S-009,臺中市議會議事資訊系統－各項提案,服務品質滿意度民意調查」相關所有資料(含「警察局」及研究發展考核委員會)於公開處,https://yishi.tccc.gov.tw/proposals/a82744ea-06b6-4bf2-ab2f-96f32a761955,,FRESH,CONFIRMED,
FEED-S-009-8adf08beea057cb0,S-009,臺中市議會議事資訊系統－各項提案,建請臺中市「警察局」第五分局增加警察編制員額案。,https://yishi.tccc.gov.tw/proposals/9d0cf74f-4925-4477-8286-52a38e22a193,,FRESH,CONFIRMED,
